Ensembl	Name	AltNames	Biotype	GeneLength	SumExonLength	Chr
FBgn0000057	adp	adp-RA	protein_coding	2357	2291	2R
FBgn0000061	al	al-RA	protein_coding	9328	1806	2L
FBgn0000063	ald	ald-RA	protein_coding	2558	2141	3R
FBgn0000064	Ald	Ald-RH	protein_coding	7523	3809	3R
FBgn0000071	Ama	Ama-RC	protein_coding	2669	1946	3R
FBgn0000075	amd	amd-RB	protein_coding	3957	2224	2L
FBgn0000077	amx	amx-RA	protein_coding	1422	1422	X
FBgn0000078	Amy-d	Amy-d-RA	protein_coding	1606	1606	2R
FBgn0000079	Amy-p	Amy-p-RA	protein_coding	1668	1668	2R
FBgn0000083	AnxB9	AnnIX-RC,AnnIX	protein_coding	5677	2073	3R
FBgn0000084	AnxB10	AnnX-RB,AnnX	protein_coding	2070	1247	X
FBgn0000092	CG2650	CG2650-RA	protein_coding	1155	1013	X
FBgn0000093	Mst77F		protein_coding	1150	1088	3L
FBgn0000094	Anp	Anp-RA	protein_coding	435	373	3R
FBgn0000095	Antp		protein_coding	102976	7508	3R
FBgn0000097	aop	aop-RA	protein_coding	22271	5454	2L
FBgn0000099	ap	ap-RA	protein_coding	21324	4320	2R
FBgn0000100	RpLP0	RpLP0-RA	protein_coding	1621	1328	3L
FBgn0000108	Appl	Appl-RA	protein_coding	48544	6383	X
FBgn0000109	Aprt	Aprt-RA	protein_coding	1225	1021	3L
FBgn0000114	aret	aret-RB	protein_coding	138435	7791	2L
FBgn0000115	Arl1	Arf72A-RA,Arf72A	protein_coding	1228	863	3L
FBgn0000116	Argk	Argk-RB	protein_coding	17247	3504	3L
FBgn0000117	arm	arm-RD	protein_coding	9246	3564	X
FBgn0000119	arr	arr-RA	protein_coding	29590	6024	2R
FBgn0000120	Arr1	Arr1-RA	protein_coding	3039	2476	2L
FBgn0000121	Arr2	Arr2-RA	protein_coding	1676	1547	3L
FBgn0000137	ase	ase-RA	protein_coding	2430	2430	X
FBgn0000139	ash2	ash2-RB	protein_coding	3252	2235	3R
FBgn0000140	asp	asp-RA	protein_coding	6665	6338	3R
FBgn0000142	Asx	Asx-RA	protein_coding	8438	6869	2R
FBgn0000146	aub	aub-RC	protein_coding	3658	3015	2L
FBgn0000147	aurA	aur-RA,aur	protein_coding	1703	1577	3R
FBgn0000150	awd	awd-RA	protein_coding	906	727	3R
FBgn0000152	Axs	Axs-RB	protein_coding	3807	2575	X
FBgn0000153	b	b-RA	protein_coding	2732	2135	2L
FBgn0000157	Dll	Dll-RA	protein_coding	20846	3309	2R
FBgn0000158	bam	bam-RA	protein_coding	2019	1894	3R
FBgn0000163	baz	baz-RA	protein_coding	40700	15831	X
FBgn0000165	Bc		protein_coding	2760	2344	2R
FBgn0000166	bcd	bcd-RF	protein_coding	3625	2536	3R
FBgn0000171	bel	bel-RA	protein_coding	5175	3349	3R
FBgn0000173	ben	ben-RB	protein_coding	3461	2072	X
FBgn0000179	bi	bi-RB	protein_coding	72792	6095	X
FBgn0000180	bib	bib-RA	protein_coding	10894	3276	2L
FBgn0000181	bic	bic-RB	protein_coding	1546	1546	2R
FBgn0000182	BicC	BicC-RD	protein_coding	6711	4547	2L
FBgn0000183	BicD	BicD-RA	protein_coding	13611	5498	2L
FBgn0000206	boss	boss-RA	protein_coding	4955	3013	3R
FBgn0000210	br	br-RJ	protein_coding	89738	16093	X
FBgn0000212	brm	brm-RB	protein_coding	12788	5597	3L
FBgn0000216	Brd	Brd-RA	protein_coding	532	532	3L
FBgn0000221	brn	brn-RA	protein_coding	1450	1450	X
FBgn0000227	Bsg25A	Bsg25A-RA	protein_coding	1410	1352	2L
FBgn0000228	Bsg25D	Bsg25D-RC	protein_coding	6821	4953	2L
FBgn0000229	bsk	bsk-RF	protein_coding	3000	2018	2L
FBgn0000233	btd	btd-RA	protein_coding	3373	2934	X
FBgn0000239	bur	bur-RB	protein_coding	5502	3116	2L
FBgn0000241	bw	bw-RA	protein_coding	10695	2738	2R
FBgn0000242	Bx	Bx-RB	protein_coding	38147	3896	X
FBgn0000244	by	by-RC	protein_coding	4774	4774	3R
FBgn0000246	c(3)G	c(3)G-RA	protein_coding	3107	2629	3R
FBgn0000247	ca	ca-RA	protein_coding	8237	7026	3R
FBgn0000250	cact	cact-RC	protein_coding	13172	3324	2L
FBgn0000251	cad	cad-RA	protein_coding	12405	2570	2L
FBgn0000253	Cam	Cam-RA	protein_coding	19412	5812	2R
FBgn0000256	capu	capu-RG	protein_coding	30215	6240	2L
FBgn0000257	car	car-RB	protein_coding	3383	3205	X
FBgn0000258	CkIIalpha	CkIIalpha-RA	protein_coding	3883	1623	3L
FBgn0000259	CkIIbeta	CkIIbeta-RF	protein_coding	9055	5705	X
FBgn0000261	Cat	Cat-RA	protein_coding	5585	1993	3L
FBgn0000273	Pka-C1	Pka-C1-RB	protein_coding	16983	5725	2L
FBgn0000274	Pka-C2	Pka-C2-RB	protein_coding	1602	1349	3R
FBgn0000275	Pka-R1		protein_coding	19961	4689	3L
FBgn0000276	CecA1	CecA1-RA	protein_coding	400	339	3R
FBgn0000277	CecA2	CecA2-RA	protein_coding	413	355	3R
FBgn0000278	CecB	CecB-RA	protein_coding	483	425	3R
FBgn0000279	CecC	CecC-RA	protein_coding	455	386	3R
FBgn0000280	Cec-Psi1	Cec-Psi1-RA	pseudogene	227	166	3R
FBgn0000281	Cec2	Cec2-RA	pseudogene	240	201	3R
FBgn0000283	Cp190	Cp190-RB	protein_coding	4810	4293	3R
FBgn0000286	Cf2	Cf2-RA	protein_coding	6217	4315	2L
FBgn0000287	salr	salr-RB	protein_coding	14764	5536	2L
FBgn0000289	cg	cg-RJ	protein_coding	9146	5429	2R
FBgn0000299	Cg25C	Cg25C-RC	protein_coding	7671	6165	2L
FBgn0000303	Cha	Cha-RB	protein_coding	26844	4011	3R
FBgn0000307	chif	chif-RB	protein_coding	10199	7747	2L
FBgn0000308	chic	chic-RA	protein_coding	8904	2632	2L
FBgn0000313	chp	chp-RA	protein_coding	6551	4872	3R
FBgn0000316	cin	cin-RA	protein_coding	2796	2110	X
FBgn0000317	ck	ck-RB	protein_coding	12900	7404	2L
FBgn0000318	cl	cl-RA	protein_coding	1248	716	2L
FBgn0000319	Chc	Chc-RF	protein_coding	7505	6008	X
FBgn0000320	eya	eya-RA	protein_coding	19530	3690	2L
FBgn0000326	clt	clt-RA	protein_coding	2019	1844	2R
FBgn0000330	cm	cm-RA	protein_coding	2140	1774	X
FBgn0000337	cn	cn-RA	protein_coding	2271	1790	2R
FBgn0000338	cnc	cnc-RF	protein_coding	36384	7682	3R
FBgn0000339	cni	cni-RB	protein_coding	1435	1182	2L
FBgn0000340	cno		protein_coding	43828	6960	3R
FBgn0000346	comt	comt-RA	protein_coding	3468	3087	X
FBgn0000351	cort	cort-RA	protein_coding	1954	1655	2L
FBgn0000352	cos	cos-RA	protein_coding	4940	4763	2R
FBgn0000355	Cp15	Cp15-RA	protein_coding	586	515	3L
FBgn0000356	Cp16	Cp16-RA	protein_coding	656	522	3L
FBgn0000357	Cp18	Cp18-RA	protein_coding	823	649	3L
FBgn0000358	Cp19	Cp19-RA	protein_coding	740	651	3L
FBgn0000359	Cp36	Cp36-RA	protein_coding	1205	1116	X
FBgn0000360	Cp38	Cp38-RA	protein_coding	1475	1249	X
FBgn0000363	cpo	cpo-RJ	protein_coding	98949	11451	3R
FBgn0000370	crc	crc-RA	protein_coding	8662	3423	2L
FBgn0000376	crm	crm-RA	protein_coding	4526	3886	X
FBgn0000377	crn	crn-RA	protein_coding	2390	2332	X
FBgn0000382	csw	csw-RA	protein_coding	21468	8732	X
FBgn0000384	cta	cta-RA	protein_coding	11136	2764	2L
FBgn0000392	cup	cup-RB	protein_coding	11117	4306	2L
FBgn0000394	cv	cv-RA	protein_coding	3083	2053	X
FBgn0000395	cv-2	cv-2-RA	protein_coding	24450	4329	2R
FBgn0000404	CycA	CycA-RA	protein_coding	6860	2919	3L
FBgn0000405	CycB	CycB-RD	protein_coding	3428	3047	2R
FBgn0000406	Cyt-b5-r	Cyt-b5-r-RA	protein_coding	1948	1557	2L
FBgn0000409	Cyt-c-p	Cyt-c-p-RA	protein_coding	2713	681	2L
FBgn0000411	D	D-RA	protein_coding	3011	2935	3L
FBgn0000412	D1	D1-RD	protein_coding	2572	1877	3R
FBgn0000413	da	da-RA	protein_coding	5124	3603	2L
FBgn0000414	Dab	Dab-RB	protein_coding	12450	9270	3L
FBgn0000416	Sap-r	Sap-r-RA	protein_coding	5599	3527	3R
FBgn0000422	Ddc	Ddc-RB	protein_coding	3824	2797	2L
FBgn0000426	SmF	DebB,DebB-RA	protein_coding	467	467	2R
FBgn0000427	dec-1	dec-1-RC	protein_coding	6062	5748	X
FBgn0000439	Dfd	Dfd-RA	protein_coding	10593	2739	3R
FBgn0000442	Pkg21D	Pkg21D-RA	protein_coding	4646	2583	2L
FBgn0000447	Dhod	Dhod-RA	protein_coding	1526	1472	3R
FBgn0000448	Hr46	Hr46-RD	protein_coding	33354	10752	2R
FBgn0000449	dib	dib-RA	protein_coding	2260	1975	3L
FBgn0000451	ect	ect-RD	protein_coding	11562	3741	3L
FBgn0000454	Dip-B	Dip-B-RA	protein_coding	3389	2102	3R
FBgn0000455	Dip-C	Dip-C-RA	protein_coding	1951	1951	3R
FBgn0000459	disco	disco-RA	protein_coding	6153	3247	X
FBgn0000462	dl		protein_coding	13528	5921	2L
FBgn0000463	Dl	Dl-RA	protein_coding	23487	5278	3R
FBgn0000464	Lar	Lar-RB	protein_coding	145447	10337	2L
FBgn0000472	dm	dm-RA	protein_coding	12834	3465	X
FBgn0000473	Cyp6a2	Cyp6a2-RA	protein_coding	1743	1674	2R
FBgn0000477	DNaseII	DNaseII-RA	protein_coding	1787	1228	3R
FBgn0000479	dnc	dnc-RB	protein_coding	167328	16683	X
FBgn0000482	dor	dor-RA	protein_coding	3400	3161	X
FBgn0000486	Dox-A2		protein_coding	1852	1791	2L
FBgn0000487	Dox-A3		protein_coding	2400	2213	2R
FBgn0000489	Pka-C3	Pka-C3-RB	protein_coding	28993	3091	3L
FBgn0000490	dpp	dpp-RA	protein_coding	31452	5214	2L
FBgn0000492	Dr	Dr-RA	protein_coding	8859	2552	3R
FBgn0000497	ds	ds-RA	protein_coding	74971	12427	2L
FBgn0000499	dsh	dsh-RA	protein_coding	2844	2844	X
FBgn0000500	Dsk	Dsk-RA	protein_coding	569	569	3R
FBgn0000504	dsx	dsx-RA	protein_coding	43086	9053	3R
FBgn0000520	dwg	dwg-RA	protein_coding	2345	2002	X
FBgn0000524	dx	dx-RA	protein_coding	4577	3828	X
FBgn0000527	e	e-RA	protein_coding	7339	3142	3R
FBgn0000529	bsh	bsh-RA	protein_coding	3292	2012	2L
FBgn0000533	ea	ea-RA	protein_coding	1680	1527	3R
FBgn0000535	eag	eag-RA	protein_coding	54513	10636	X
FBgn0000536	eas	eas-RE	protein_coding	7291	4627	X
FBgn0000541	E(bx)	E(bx)-RF	protein_coding	12987	10072	3L
FBgn0000542	ec	ec-RB	protein_coding	45924	8400	X
FBgn0000543	ecd	ecd-RA	protein_coding	2277	2204	3L
FBgn0000546	EcR	EcR-RA	protein_coding	81215	9934	2R
FBgn0000547	ed	ed-RA	protein_coding	84373	6425	2L
FBgn0000551	Edg78E	Edg78E-RA	protein_coding	1041	967	3L
FBgn0000552	Edg84A	Edg84A-RA	protein_coding	713	652	3R
FBgn0000556	Ef1alpha48D	Ef1alpha48D-RA	protein_coding	4628	2464	2R
FBgn0000557	Ef1alpha100E	Ef1alpha100E-RB	protein_coding	4839	2656	3R
FBgn0000559	EF2	Ef2b-RA,Ef2b	protein_coding	4252	3056	2L
FBgn0000560	eg	eg-RB	protein_coding	8898	2033	3L
FBgn0000562	egl	egl-RB	protein_coding	11926	4515	2R
FBgn0000564	Eh	Eh-RA	protein_coding	2217	704	3R
FBgn0000565	Eip71CD	Eip71CD-RD	protein_coding	2151	1354	3L
FBgn0000566	Eip55E	Eip55E-RA	protein_coding	1478	1478	2R
FBgn0000567	Eip74EF	Eip74EF-RB	protein_coding	60654	9332	3L
FBgn0000568	Eip75B	Eip75B-RC	protein_coding	113744	13451	3L
FBgn0000570	elav		protein_coding	6382	3102	X
FBgn0000575	emc	emc-RA	protein_coding	4093	2049	3L
FBgn0000576	ems	ems-RA	protein_coding	2768	2478	3R
FBgn0000577	en	en-RA	protein_coding	4205	2792	2R
FBgn0000578	ena	ena-RA	protein_coding	22074	6075	2R
FBgn0000579	Eno	Eno-RF	protein_coding	4869	3718	2L
FBgn0000581	E(Pc)	E(Pc)-RA	protein_coding	13228	10946	2R
FBgn0000588	esc	esc-RA	protein_coding	2202	1704	2L
FBgn0000591	E(spl)m8-HLH	E(spl),E(spl)-RA	protein_coding	769	769	3R
FBgn0000592	Est-6	Est-6-RA	protein_coding	1888	1837	3L
FBgn0000594	Est-P	Est-P-RA	protein_coding	1796	1740	3L
FBgn0000606	eve	eve-RA	protein_coding	1477	1406	2R
FBgn0000611	exd	exd-RC	protein_coding	4042	3302	X
FBgn0000615	exu	exu-RC	protein_coding	3657	3290	2R
FBgn0000617	e(y)1	e(y)1-RA	protein_coding	1188	1124	X
FBgn0000618	e(y)2	e(y)2-RA	protein_coding	503	503	X
FBgn0000625	eyg	eyg-RB	protein_coding	5485	3148	3L
FBgn0000629	E(z)	E(z)-RB	protein_coding	3556	2665	3L
FBgn0000630	f	f-RC	protein_coding	28820	7567	X
FBgn0000633	fas	fas-RA	protein_coding	126324	5978	2R
FBgn0000634	Fas1	Fas1-RA	protein_coding	14546	4309	3R
FBgn0000635	Fas2	Fas2-RA	protein_coding	73207	7306	X
FBgn0000636	Fas3	Fas3-RC	protein_coding	73340	6612	2L
FBgn0000639	Fbp1	Fbp1-RA	protein_coding	3465	3465	3L
FBgn0000640	Fbp2	Fbp2-RA	protein_coding	1134	1074	2L
FBgn0000644	Fcp3C	Fcp3C-RA	protein_coding	1099	963	X
FBgn0000658	fj	fj-RA	protein_coding	3551	3551	2R
FBgn0000659	fkh	fkh-RB	protein_coding	4289	4289	3R
FBgn0000662	fl(2)d	fl(2)d-RB	protein_coding	4930	2977	2R
FBgn0000667	Actn	Actn-RB	protein_coding	18490	5272	X
FBgn0000709	fliI	fliI-RA	protein_coding	5348	4827	X
FBgn0000711	flw	flw-RB	protein_coding	23858	4276	X
FBgn0000715	FMRFa	Fmrf-RA,Fmrf	protein_coding	4164	1427	2R
FBgn0000719	fog	fog-RA	protein_coding	30878	6564	X
FBgn0000721	for	for-RC	protein_coding	34880	6929	2L
FBgn0000723	FER	Fps85D-RC,Fps85D	protein_coding	26944	5128	3R
FBgn0000808	gd	gd-RA	protein_coding	2231	1941	X
FBgn0000810	fs(1)K10	fs(1)K10-RA	protein_coding	3904	3052	X
FBgn0000826	png	png-RA	protein_coding	1114	1114	X
FBgn0000927	fs(1)Ya	fs(1)Ya-RA	protein_coding	2292	2235	X
FBgn0000928	fs(1)Yb	fs(1)Yb-RA	protein_coding	3691	3502	X
FBgn0000964	tj	tj-RB	protein_coding	3492	3492	2L
FBgn0000986	Fs(2)Ket	Fs(2)Ket-RA	protein_coding	4865	3612	2L
FBgn0000996	dup	dup-RA	protein_coding	4370	3138	2R
FBgn0001075	ft	ft-RA	protein_coding	23393	16852	2L
FBgn0001077	ftz	ftz-RA	protein_coding	1921	1774	3R
FBgn0001078	ftz-f1	ftz-f1-RB	protein_coding	50703	8581	3L
FBgn0001079	fu	fu-RA	protein_coding	3450	3251	X
FBgn0001083	fw	fw-RB	protein_coding	11000	4698	X
FBgn0001084	fy	fy-RA	protein_coding	1805	1688	2L
FBgn0001085	fz	fz-RA	protein_coding	94297	3817	3L
FBgn0001086	fzy	fzy-RA	protein_coding	2142	1996	2L
FBgn0001087	g	g-RB	protein_coding	9075	4404	X
FBgn0001089	Gal	Gal-RA	protein_coding	3254	2345	2L
FBgn0001090	bnb	bnb-RB	protein_coding	3442	2726	X
FBgn0001091	Gapdh1	Gapdh1-RB	protein_coding	1480	1480	2R
FBgn0001092	Gapdh2	Gapdh2-RA	protein_coding	1517	1443	X
FBgn0001098	Gdh	Gdh-RF	protein_coding	7144	2343	3R
FBgn0001099	gdl	gdl-RA	protein_coding	1603	1175	3L
FBgn0001104	Galphai	G-ialpha65A-RA,G-ialpha65A	protein_coding	7295	2067	3L
FBgn0001105	Gbeta13F	Gbeta13F-RB	protein_coding	6061	5566	X
FBgn0001108	Gl	Gl-RA	protein_coding	5270	4550	3L
FBgn0001112	Gld	Gld-RA	protein_coding	13641	2899	3R
FBgn0001114	Glt	Glt-RA	protein_coding	4107	3373	2L
FBgn0001120	gnu	gnu-RA	protein_coding	981	923	3L
FBgn0001122	Galphao	G-oalpha47A,G-oalpha47A-RE	protein_coding	27717	6415	2R
FBgn0001123	Galphas	G-salpha60A-RC,G-salpha60A	protein_coding	4399	2112	2R
FBgn0001124	Got1	Got1-RB	protein_coding	3577	1770	2R
FBgn0001125	Got2	Got2-RA	protein_coding	3247	1734	2L
FBgn0001128	Gpdh	Gpdh-RB	protein_coding	5326	3152	2L
FBgn0001133	grau	grau-RA	protein_coding	2158	1894	2R
FBgn0001134	Grd	Grd-RA	protein_coding	16435	4071	3L
FBgn0001137	grk	grk-RA	protein_coding	2513	1718	2L
FBgn0001138	grn	grn-RA	protein_coding	34077	4090	3R
FBgn0001139	gro	gro-RE	protein_coding	8176	4455	3R
FBgn0001142	Gs1	Gs1-RD	protein_coding	2396	2396	2L
FBgn0001145	Gs2	Gs2-RB	protein_coding	7366	2231	X
FBgn0001147	gsb-n	gsb-n-RA	protein_coding	11949	2237	2R
FBgn0001148	gsb	gsb-RA	protein_coding	2680	1649	2R
FBgn0001149	GstD1	GstD1-RA	protein_coding	1452	843	3R
FBgn0001150	gt	gt-RB	protein_coding	1855	1780	X
FBgn0001168	h	h-RA	protein_coding	3495	2335	3L
FBgn0001169	H	H-RA	protein_coding	6978	6004	3R
FBgn0001170	H2.0	H2.0-RA	protein_coding	6344	1662	2L
FBgn0001174	halo	halo-RA	protein_coding	616	616	2L
FBgn0001179	hay	hay-RA	protein_coding	2891	2628	3L
FBgn0001180	hb	hb-RA	protein_coding	6843	3835	3R
FBgn0001185	her	her-RA	protein_coding	2507	2378	2L
FBgn0001186	Hex-A	Hex-A-RA	protein_coding	4139	4139	X
FBgn0001187	Hex-C	Hex-C-RA	protein_coding	1493	1493	2R
FBgn0001189	hfw	hfw-RA	protein_coding	4039	3038	X
FBgn0001197	His2Av	His2Av-RA	protein_coding	2292	1224	3R
FBgn0001202	hk	hk-RA	protein_coding	2655	2317	2L
FBgn0001203	Hk	Hk-RA	protein_coding	16061	3879	X
FBgn0001204	hkb		protein_coding	1645	1580	3R
FBgn0001205	Hmgcr	Hmgcr-RB	protein_coding	17823	4391	3R
FBgn0001206	Hmr	Hmr-RB	protein_coding	4936	4696	X
FBgn0001208	Hn	Hn-RA	protein_coding	2714	2115	3L
FBgn0001215	Hrb98DE	Hrb98DE-RF	protein_coding	5944	2743	3R
FBgn0001216	Hsc70-1	Hsc70-1-RD	protein_coding	3701	2718	3L
FBgn0001217	Hsc70-2	Hsc70-2-RA	protein_coding	2630	2174	3R
FBgn0001218	Hsc70-3	Hsc70-3-RC	protein_coding	5422	3589	X
FBgn0001219	Hsc70-4	Hsc70-4-RC	protein_coding	3967	2674	3R
FBgn0001220	Hsc70-5	Hsc70-5-RA	protein_coding	3595	2922	2R
FBgn0001222	Hsf	Hsf-RA	protein_coding	4332	2910	2R
FBgn0001223	Hsp22	Hsp22-RA	protein_coding	2034	1900	3L
FBgn0001224	Hsp23	Hsp23-RA	protein_coding	884	884	3L
FBgn0001225	Hsp26	Hsp26-RA	protein_coding	1010	1010	3L
FBgn0001226	Hsp27	Hsp27-RA	protein_coding	1632	1632	3L
FBgn0001227	Hsp67Ba	Hsp67Ba-RA	protein_coding	1733	1733	3L
FBgn0001228	Hsp67Bb	Hsp67Bb-RA	protein_coding	2243	2109	3L
FBgn0001229	Hsp67Bc	Hsp67Bc-RA	protein_coding	987	987	3L
FBgn0001230	Hsp68	Hsp68-RA	protein_coding	2231	2231	3R
FBgn0001233	Hsp83	Hsp83-RA	protein_coding	4091	2960	3L
FBgn0001234	Hsromega	Hsromega-RC	lincRNA	21710	21710	3R
FBgn0001235	hth	hth-RG	protein_coding	132008	11839	3R
FBgn0001247	Ide	Ide-RB	protein_coding	4225	3439	3L
FBgn0001248	Idh	Idh-RH	protein_coding	4503	2434	3L
FBgn0001250	if	if-RC	protein_coding	31246	6011	X
FBgn0001253	ImpE1	ImpE1-RB	protein_coding	18767	6264	3L
FBgn0001254	ImpE2	ImpE2-RA	protein_coding	1708	1708	3L
FBgn0001255	ImpE3	ImpE3-RA	protein_coding	1094	1094	3R
FBgn0001256	ImpL1	ImpL1-RC	protein_coding	1235	1235	3L
FBgn0001257	ImpL2	ImpL2-RB	protein_coding	12142	2667	3L
FBgn0001258	ImpL3	ImpL3-RA	protein_coding	3590	1942	3L
FBgn0001259	in	in-RA	protein_coding	3062	3062	3L
FBgn0001263	inaD	inaD-RA	protein_coding	3107	2331	2R
FBgn0001269	inv	inv-RA	protein_coding	35231	5919	2R
FBgn0001276	ix	ix-RA	protein_coding	727	727	2R
FBgn0001280	janA	janA-RB	protein_coding	912	740	3R
FBgn0001281	janB	janB-RA	protein_coding	745	569	3R
FBgn0001285	Jon44E	Jon44E-RA	protein_coding	1397	1397	2R
FBgn0001291	Jra	Jra-RB	protein_coding	2077	1642	2R
FBgn0001296	kar	kar-RA	protein_coding	7182	2678	3R
FBgn0001297	kay	kay-RA	protein_coding	28119	7789	3R
FBgn0001301	kel	kel-RB	protein_coding	8200	5476	2L
FBgn0001308	Khc	Khc-RA	protein_coding	5012	3718	2R
FBgn0001311	kkv	kkv-RD	protein_coding	14774	5701	3R
FBgn0001313	kl-2	kl-2-RB	protein_coding	91086	13386	Y
FBgn0001314	kl-3	kl-3-RA	protein_coding	31550	8278	YHet
FBgn0001315	kl-5	kl-5-RA	protein_coding	33103	7122	YHet
FBgn0001316	klar	klar-RB	protein_coding	106532	11717	3L
FBgn0001319	kn	kn-RA	protein_coding	34412	4391	2R
FBgn0001320	kni	kni-RA	protein_coding	3049	2215	3L
FBgn0001321	knk	knk-RA	protein_coding	3300	2674	3R
FBgn0001323	knrl	knrl-RA	protein_coding	23519	3909	3L
FBgn0001324	kto	kto-RA	protein_coding	8331	7776	3L
FBgn0001325	Kr	Kr-RA	protein_coding	4784	4411	2R
FBgn0001330	kz	kz-RA	protein_coding	4178	3927	X
FBgn0001332	L	L-RA	protein_coding	16126	2632	2R
FBgn0001337	Exp6	Exp6-RA	protein_coding	5541	4122	X
FBgn0001341	l(1)1Bi	l(1)1Bi-RA	protein_coding	3861	3680	X
FBgn0001402	trol		protein_coding	74408	15425	X
FBgn0001404	egh	egh-RB	protein_coding	10609	4662	X
FBgn0001491	l(1)10Bb	l(1)10Bb-RA	protein_coding	1015	934	X
FBgn0001560	l(1)19Ec	l(1)19Ec-RB	protein_coding	813	813	X
FBgn0001565	Hlc	Hlc-RA	protein_coding	2429	2116	X
FBgn0001612	Grip91	l(1)dd4-RA,l(1)dd4	protein_coding	8114	3571	X
FBgn0001624	dlg1	dlg1-RG	protein_coding	40112	11505	X
FBgn0001941	ifc	ifc-RA	protein_coding	2507	2201	2L
FBgn0001942	eIF-4a	eIF-4a-RD	protein_coding	4146	2480	2L
FBgn0001961	Arpc1	Sop2,Sop2-RB	protein_coding	1801	1732	2L
FBgn0001965	Sos	Sos-RA	protein_coding	6009	5635	2L
FBgn0001967	NimC3	l(2)34Fa,nimC3-RB	protein_coding	852	852	2L
FBgn0001970	Pgant35A	Pgant35A-RA	protein_coding	2160	2160	2L
FBgn0001974	l(2)35Bd	l(2)35Bd-RA	protein_coding	1826	1769	2L
FBgn0001977	CIAPIN1	l(2)35Bg-RA,l(2)35Bg	protein_coding	2569	2358	2L
FBgn0001978	stc	stc-RA	protein_coding	4590	4145	2L
FBgn0001980	gft		protein_coding	5985	3657	2L
FBgn0001981	esg	esg-RA	protein_coding	2273	2273	2L
FBgn0001983	wor	wor-RA	protein_coding	2284	2222	2L
FBgn0001986	l(2)35Df	l(2)35Df-RA	protein_coding	3638	3585	2L
FBgn0001987	Gli	Gli-RD	protein_coding	6757	4468	2L
FBgn0001989	l(2)35Di	l(2)35Di-RB	protein_coding	1760	992	2L
FBgn0001990	wek	wek-RA	protein_coding	2217	2033	2L
FBgn0001991	Ca-alpha1D	Ca-alpha1D-RA	protein_coding	24710	10481	2L
FBgn0001992	Cyp303a1	Cyp303a1-RA	protein_coding	2787	2787	2L
FBgn0001994	crp	crp-RA	protein_coding	24175	4402	2L
FBgn0001995	mRpL4	mRpL4-RA	protein_coding	1074	1012	2L
FBgn0002021	l(2)37Bb	l(2)37Bb-RA	protein_coding	1770	1708	2L
FBgn0002022	Catsup	Catsup-RA	protein_coding	1753	1698	2L
FBgn0002023	Lim3	Lim3-RA	protein_coding	29172	4281	2L
FBgn0002031	l(2)37Cc	l(2)37Cc-RB	protein_coding	2525	2119	2L
FBgn0002036	CG10561	CG10561-RA	protein_coding	2170	2052	2L
FBgn0002044	swm	swm-RA	protein_coding	4728	4249	2L
FBgn0002069	Aats-asp	Aats-asp-RA	protein_coding	6165	2266	2R
FBgn0002121	l(2)gl	l(2)gl-RA	protein_coding	11538	5986	2L
FBgn0002174	l(2)tid	l(2)tid-RC	protein_coding	2114	2070	2R
FBgn0002183	dre4	dre4-RB	protein_coding	4739	3690	3L
FBgn0002283	l(3)73Ah	l(3)73Ah-RA	protein_coding	1658	1404	3L
